,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_mexican_restaurant,full_address,geocoded
2351,2Uhulxv6at2RXPg-ytYRdg,"""Chile Verde""","""3036 Weddington Rd""",Matthews,NC,28105,35.0831774,-80.73313689999999,4.0,12,1,"3036 Weddington Rd, Matthews, NC, 28105","(35.0831774, -80.73313689999999)"
2450,IJrRJLKS7qxzzVUkh1U5iA,"""Tio Freddys Mexican Food-Jalapenos""","""5630 W Camelback Rd""",Glendale,AZ,85301,33.5100488,-112.1803731,4.5,3,1,"5630 W Camelback Rd, Glendale, AZ, 85301","(33.5100488, -112.1803731)"
2551,htUK5uwiYlKB4coz8-b1XQ,"""La Frontera""","""1925 Westinghouse Blvd""",Charlotte,NC,28273,35.12820420000001,-80.938615,4.0,7,1,"1925 Westinghouse Blvd, Charlotte, NC, 28273","(35.12820420000001, -80.938615)"
2591,39BNnMLzx0UUwkWKxGeQKA,"""La Cosina Mexican Restaurant""","""7320 Las Vegas Blvd S, Ste 110""",Las Vegas,NV,89123,36.0564607,-115.1722858,4.0,27,1,"7320 Las Vegas Blvd S, Ste 110, Las Vegas, NV, 89123","(36.0564607, -115.1722858)"
3082,ToRbEn4rrp6Tg4xqiz5eyg,"""El Patron""","""1512 US 51""",Stoughton,WI,53589,42.9187607,-89.2390319,4.5,6,1,"1512 US 51, Stoughton, WI, 53589","(42.9187607, -89.2390319)"
3189,psTL09zta37SOlqaVj6csw,"""Restaurant Hacienda""","""Tübinger Str. 8""",Stuttgart,BW,70178,48.7728305,9.1741756,2.5,66,1,"Tübinger Str. 8, Stuttgart, BW, 70178","(48.7728305, 9.1741756)"
3276,tfg08x88Mr4nEr8_bVal7w,"""Restaurante Guadalajara""","""1725 N Nellis Blvd""",Las Vegas,NV,89115,36.1908607,-115.0625851,4.5,7,1,"1725 N Nellis Blvd, Las Vegas, NV, 89115","(36.1908607, -115.0625851)"
3392,pwXkM4yHrcojgnx2qJQt7A,"""Pizza Hut""","""900 Dufferin Street""",Toronto,ON,M6H 4B1,43.6558736,-79.4354848,2.0,12,1,"900 Dufferin Street, Toronto, ON, M6H 4B1","(43.6558736, -79.4354848)"
3479,nemcwBBzPuTbP9oKF9t_Jw,"""Tilde""","""699 Danforth Avenue""",Toronto,ON,M4J 1L2,43.6790252,-79.34367879999999,3.0,40,1,"699 Danforth Avenue, Toronto, ON, M4J 1L2","(43.6790252, -79.34367879999999)"
3599,HV2vPReKp0n0E6zgjsu4Mg,"""Garnachas Mexican Street Food""","""3111 S Valley View Blvd, Ste K107""",Las Vegas,NV,89102,36.131856,-115.1924342,4.5,51,1,"3111 S Valley View Blvd, Ste K107, Las Vegas, NV, 89102","(36.131856, -115.1924342)"
3704,B60N0Fku2lkuQpTJ6t-E7Q,"""Mexi Cafe""","""1609 Elizabeth Ave""",Charlotte,NC,28204,35.2136851,-80.8260792,3.5,3,1,"1609 Elizabeth Ave, Charlotte, NC, 28204","(35.2136851, -80.8260792)"
3752,qjqaRKX7dXqWcKNH1RxLZg,"""Fusion Burritos""","""546 N Gilbert Rd""",Gilbert,AZ,85234,33.3602337,-111.7900886,3.5,15,1,"546 N Gilbert Rd, Gilbert, AZ, 85234","(33.3602337, -111.7900886)"
3802,A4uc3-zbHowQeR_u-7VNOw,"""Fiesta Cancun""","""7854 Mineral Point Rd""",Madison,WI,53711,43.0611638,-89.5189058,3.5,6,1,"7854 Mineral Point Rd, Madison, WI, 53711","(43.0611638, -89.5189058)"
4084,iUbDIvZ0FuATXmnCkk0KeQ,"""Mariscos Ensenada 7""","""4212 W Cactus Rd""",Phoenix,AZ,85029,33.59805890000001,-112.1506987,3.0,6,1,"4212 W Cactus Rd, Phoenix, AZ, 85029","(33.59805890000001, -112.1506987)"
4203,cFDgB0UtYchuRYmxMKCciw,"""Barton Snacks""","""15 Barton Avenue""",Toronto,ON,M5R 1G8,43.668059,-79.4120327,4.0,4,1,"15 Barton Avenue, Toronto, ON, M5R 1G8","(43.668059, -79.4120327)"
4321,XO9oHMxyT0fklifbmED5LQ,"""The Taco Shop""","""604 University Ave""",Madison,WI,53715,43.0733806,-89.39599419999999,2.5,19,1,"604 University Ave, Madison, WI, 53715","(43.0733806, -89.39599419999999)"
4990,StzhG702lMPU_1Z7XZgxSg,"""Carefree Station""","""Spanish Village, 7212 Ho Hum Rd""",Carefree,AZ,85377,33.8260576,-111.9234598,3.5,80,1,"Spanish Village, 7212 Ho Hum Rd, Carefree, AZ, 85377","(33.8260576, -111.9234598)"
5116,ocXPQsWEpC0KF6tZezEBpA,"""Hal O Penos""","""3515 W Northern Ave""",Phoenix,AZ,85051,33.5519902,-112.1348362,3.5,14,1,"3515 W Northern Ave, Phoenix, AZ, 85051","(33.5519902, -112.1348362)"
5334,nKbuoq0Kqdv0tSLFJhwFVQ,"""Bajio Mexican Grill""","""4235 S Ft Apache Rd, Ste 250""",Las Vegas,NV,89147,36.1121551,-115.2980536,3.5,9,1,"4235 S Ft Apache Rd, Ste 250, Las Vegas, NV, 89147","(36.1121551, -115.2980536)"
5410,vjhB95c5nOXflNoyq_jKzw,"""Nacho Daddy Henderson""","""9925 S Eastern Ave""",Las Vegas,NV,89183,36.0090694,-115.1170705,3.5,599,1,"9925 S Eastern Ave, Las Vegas, NV, 89183","(36.0090694, -115.1170705)"
5442,CjQvM7br7cAhn6N8O8fdVA,"""On The Border Mexican Grill & Cantina""","""21001 N Tatum Blvd""",Phoenix,AZ,85050,33.6790764,-111.9767701,3.0,4,1,"21001 N Tatum Blvd, Phoenix, AZ, 85050","(33.6790764, -111.9767701)"
5530,VHchdLl_QVtStqx13vENbA,"""Moe's Southwest Grill""","""1938 Euclid Ave""",Cleveland,OH,44115,41.5012249,-81.6767402,3.5,3,1,"1938 Euclid Ave, Cleveland, OH, 44115","(41.5012249, -81.6767402)"
5998,fEUkduphNffvbS8tDQjw7A,"""Salsarita's Fresh Cantina""","""320 S Tryon St, Ste 100A""",Charlotte,NC,28202,35.225397,-80.8461543,3.5,15,1,"320 S Tryon St, Ste 100A, Charlotte, NC, 28202","(35.225397, -80.8461543)"
6131,QmvtdOl4PEiMizrMyEQZTg,"""Mexikhan""","""3050 Artesian Drive, Unit 9""",Mississauga,ON,L5M 7P5,43.545384,-79.71467009999999,2.0,7,1,"3050 Artesian Drive, Unit 9, Mississauga, ON, L5M 7P5","(43.545384, -79.71467009999999)"
6584,LkgqiRF3LaZCVQmDFC0AaA,"""Estrella Taqueria""","""4899 Yonge Street""",Toronto,ON,M2N 5N4,43.7638953,-79.4111994,2.0,28,1,"4899 Yonge Street, Toronto, ON, M2N 5N4","(43.7638953, -79.4111994)"
6755,Gkhi0IkGAIls6YgXBSdZqQ,"""El Amigo Mexican Food""","""10639 N 19th Ave""",Phoenix,AZ,85029,33.5829204,-112.0988228,4.0,9,1,"10639 N 19th Ave, Phoenix, AZ, 85029","(33.5829204, -112.0988228)"
6901,01HlBwitl4q_sEHzJ8wx-w,"""Burrito Loco""","""47 Charles St W""",Toronto,ON,M4Y,43.668117,-79.38840119999999,2.5,6,1,"47 Charles St W, Toronto, ON, M4Y","(43.668117, -79.38840119999999)"
6934,6JTxM3pZAaiauddFu88VpA,"""Café Casera""","""7720 S Jones Blvd, Ste 105""",Las Vegas,NV,89139,36.048925,-115.2244154,4.5,74,1,"7720 S Jones Blvd, Ste 105, Las Vegas, NV, 89139","(36.048925, -115.2244154)"
6983,s66aM75aH4vLzDe7_vKvAQ,"""Chuy's Mesquite Broiler""","""13752 W Bell Rd""",Surprise,AZ,85374,33.6413861,-112.3557319,3.0,17,1,"13752 W Bell Rd, Surprise, AZ, 85374","(33.6413861, -112.3557319)"
7028,PelhNV5WsvEJjhUShubLvQ,"""La Mexicana Bakery & Deli""","""3675 S Decatur Blvd, Ste 1""",Las Vegas,NV,89103,36.1229631,-115.2090777,4.0,14,1,"3675 S Decatur Blvd, Ste 1, Las Vegas, NV, 89103","(36.1229631, -115.2090777)"
7239,MNkxGVlqMDhirr-UPXm5Rg,"""Garduno's Restaurant""","""Chandler Fashion Mall""",Chandler,AZ,85224,33.289327,-111.8904099,3.5,7,1,"Chandler Fashion Mall, Chandler, AZ, 85224","(33.289327, -111.8904099)"
7436,j3csEfGzkwnXATdRoZDT-A,"""Casa Reynoso""","""5865 W Ray Rd""",Chandler,AZ,85226,33.3186408,-111.9441447,3.5,36,1,"5865 W Ray Rd, Chandler, AZ, 85226","(33.3186408, -111.9441447)"
7485,WwvSDgFkx3f0piozrdMxtQ,"""Ling and Louie's Kitchen""","""2502 E Camelback Rd""",Phoenix,AZ,85016,33.5114209,-112.0285287,3.0,45,1,"2502 E Camelback Rd, Phoenix, AZ, 85016","(33.5114209, -112.0285287)"
7973,cAwyXwW_IfaXVCkX_lL25g,"""Baja Fresh Mexican Grill""","""3420 E Baseline Rd""",Mesa,AZ,85204,33.3796537,-111.7571343,3.0,14,1,"3420 E Baseline Rd, Mesa, AZ, 85204","(33.3796537, -111.7571343)"
8017,VUEbOHYJYcnmjfsnxCitiQ,"""Tequila Taco House""","""2 Rue Sherbrooke""",Montréal,QC,H2X 1C2,45.5125261,-73.5691995,3.5,49,1,"2 Rue Sherbrooke, Montréal, QC, H2X 1C2","(45.5125261, -73.5691995)"
8307,s4Q0Med8QVVXSrhoAYq-kw,"""Taco Bar""","""5674 Avenue de Monkland""",Montréal,QC,H4A 1E4,45.4746128,-73.6233243,3.5,14,1,"5674 Avenue de Monkland, Montréal, QC, H4A 1E4","(45.4746128, -73.6233243)"
8322,nYIBVvjArSutlz2rkL8m-w,"""Qdoba""","""21605 Center Ridge Rd""",Rocky River,OH,44116,41.4595701,-81.85849499999999,2.5,6,1,"21605 Center Ridge Rd, Rocky River, OH, 44116","(41.4595701, -81.85849499999999)"
8427,kBgpdaS9joBXioj89zo1QA,"""El Toro""","""1104 N Cunningham Ave""",Urbana,IL,61802,40.1236272,-88.2005745,3.5,15,1,"1104 N Cunningham Ave, Urbana, IL, 61802","(40.1236272, -88.2005745)"
9181,wGPZCNenq5HYb50Ip9NXAw,"""El Pescador""","""2810 E Washington Ave""",Madison,WI,53774,43.1029911,-89.3457048,4.0,5,1,"2810 E Washington Ave, Madison, WI, 53774","(43.1029911, -89.3457048)"
9223,QF2P3oJqCJC9z0TPDDFVxw,"""DJ's Taco Bar""","""3743 S Las Vegas Blvd""",Las Vegas,NV,89109,36.1067731,-115.1721488,4.0,332,1,"3743 S Las Vegas Blvd, Las Vegas, NV, 89109","(36.1067731, -115.1721488)"
9295,Cduw9GWnZ_ZvsACVVrlkEA,"""La Reina Mexican Food & Bakery""","""1600 N Jones Blvd, Ste 110""",Las Vegas,NV,89108,36.188845,-115.2235899,3.0,12,1,"1600 N Jones Blvd, Ste 110, Las Vegas, NV, 89108","(36.188845, -115.2235899)"
9663,zxy7kNPVHsqmKKn7fmGnQA,"""Barburrito""","""230 Commerce Valley Drive E, Unit 5""",Markham,ON,L3T 7T2,43.8436666,-79.3777054,3.0,14,1,"230 Commerce Valley Drive E, Unit 5, Markham, ON, L3T 7T2","(43.8436666, -79.3777054)"
9750,m9idUZWCBQB_owyaSeO2dw,"""Tacos El Rey""","""3969 S Maryland Pkwy""",Las Vegas,NV,89119,36.1168889,-115.1384729,4.0,32,1,"3969 S Maryland Pkwy, Las Vegas, NV, 89119","(36.1168889, -115.1384729)"
10039,6tCMxC7Etf--WYEd-EiprA,"""Tostadas & Tacos""","""4016 N Tenaya Way""",Las Vegas,NV,89129,36.2336495,-115.2508833,4.5,30,1,"4016 N Tenaya Way, Las Vegas, NV, 89129","(36.2336495, -115.2508833)"
10343,8ro1QnWbUFZr6hJ4aOy3TA,"""Abuelo's""","""2229 Deming Way""",Middleton,WI,53562,43.09748889999999,-89.52074979999999,3.5,81,1,"2229 Deming Way, Middleton, WI, 53562","(43.09748889999999, -89.52074979999999)"
10362,iN3SrF5NO0xSf6umeUws-Q,"""Filiberto's""","""7111 E Thomas Rd""",Scottsdale,AZ,85251,33.4801031,-111.9277962,3.5,61,1,"7111 E Thomas Rd, Scottsdale, AZ, 85251","(33.4801031, -111.9277962)"
10554,eVsO9Bx4-fty-uTzWdZKHg,"""Armando's Mexican Food""","""2001 S 7th Ave""",Phoenix,AZ,85007,33.429865,-112.0821258,3.0,7,1,"2001 S 7th Ave, Phoenix, AZ, 85007","(33.429865, -112.0821258)"
10783,qpvA9BmHbppuxLZ3q7C-LQ,"""California Burrito""","""2335 Trafalgar Road""",Oakville,ON,L6H 7K7,43.4835541,-79.7127089,3.5,7,1,"2335 Trafalgar Road, Oakville, ON, L6H 7K7","(43.4835541, -79.7127089)"
10819,JpxjQWZbmjWlgAeMSVNGBA,"""San Antonio's Modern Mexican""","""4331 Barclay Downs Dr""",Charlotte,NC,28211,35.1533393,-80.8347081,2.5,36,1,"4331 Barclay Downs Dr, Charlotte, NC, 28211","(35.1533393, -80.8347081)"
10833,GKCX2DlxkbwY2DUu44u4rA,"""Super Mex Restaurant & Cantina""","""6450 S Durango Dr""",Las Vegas,NV,89113,36.0713588,-115.2788041,3.0,63,1,"6450 S Durango Dr, Las Vegas, NV, 89113","(36.0713588, -115.2788041)"
11001,7CD4qTysNB-lis85QFS8Tg,"""Jalapeño Mexican Grill""","""1821 S Park St""",Madison,WI,53713,43.0473733,-89.393534,4.0,7,1,"1821 S Park St, Madison, WI, 53713","(43.0473733, -89.393534)"
11054,ZkFdDbngDKIb06OBxnJnqA,"""Mi Cocina""","""6230 University Ave""",Middleton,WI,53562,43.0912082,-89.4872552,3.0,20,1,"6230 University Ave, Middleton, WI, 53562","(43.0912082, -89.4872552)"
11093,FrT9Ij-uK4yjesnIoGSJrw,"""Jalapeno's Mexican Cuisine""","""725 King St W""",Toronto,ON,M5V 2W9,43.6433194,-79.4047447,3.5,6,1,"725 King St W, Toronto, ON, M5V 2W9","(43.6433194, -79.4047447)"
11123,P4sgzDqlbQ1Rjmb3yWE8tA,"""Salsarita's Ballantyne""","""14021 Conlan Cir""",Charlotte,NC,28277,35.0557995,-80.85364969999999,4.0,3,1,"14021 Conlan Cir, Charlotte, NC, 28277","(35.0557995, -80.85364969999999)"
11281,qmm3eoSgi_tCZx9h-zSOFg,"""Don Tequila Mexican Restaurant""","""12678 Rockside Rd""",Cleveland,OH,44146,41.3982169,-81.595969,4.0,3,1,"12678 Rockside Rd, Cleveland, OH, 44146","(41.3982169, -81.595969)"
11544,PsNvBNvoP5kq4yjjTlYhXw,"""Agave Y Aguacate""","""214 Augusta Avenue""",Toronto,ON,M5T,43.6547677,-79.4022284,4.0,26,1,"214 Augusta Avenue, Toronto, ON, M5T","(43.6547677, -79.4022284)"
11552,W72t6xTko3RBwRHP2mNXig,"""Cocono's""","""8280 W Union Hills Dr""",Glendale,AZ,85308,33.6530892,-112.2357645,3.0,3,1,"8280 W Union Hills Dr, Glendale, AZ, 85308","(33.6530892, -112.2357645)"
11898,Thbnk3uDJ2PPCCluUdqfEg,"""Cactus Ranch""","""2701 University Ave""",Madison,WI,53705,43.0731022,-89.43439520000001,3.5,9,1,"2701 University Ave, Madison, WI, 53705","(43.0731022, -89.43439520000001)"
12007,3bM9rmjbaLOrlS--dRzZAw,"""El Rodeo Authentic Mexican Restaurant""","""6030 Mayfield Rd""",Cleveland,OH,44124,41.5195209,-81.4620408,3.5,11,1,"6030 Mayfield Rd, Cleveland, OH, 44124","(41.5195209, -81.4620408)"
12060,YTmnXQxBuNwU_L3uQGH2-A,"""Nuevo Acapulco""","""70 East Ave""",Tallmadge,OH,44278,41.10120149999999,-81.437994,4.0,46,1,"70 East Ave, Tallmadge, OH, 44278","(41.10120149999999, -81.437994)"
12955,BV9R4SI7Ng2JV4nQk0WMwg,"""Agave Mexican Grille""","""1813 Golden Mile Hwy""",Plum,PA,15239,40.4476638,-79.71452769999999,3.5,7,1,"1813 Golden Mile Hwy, Plum, PA, 15239","(40.4476638, -79.71452769999999)"
13228,Fq6tvdwtKV7Kk3_33oONQQ,"""Chapala's Mexican Restaurant""","""2101 S Decatur Blvd""",Las Vegas,NV,89102,36.1487348,-115.2099431,3.0,19,1,"2101 S Decatur Blvd, Las Vegas, NV, 89102","(36.1487348, -115.2099431)"
13267,UurE194rrdpdSllt0cVZxQ,"""Salsa Y Mas""","""1003 E Indian School Rd""",Phoenix,AZ,85014,33.4943836,-112.0606315,3.5,3,1,"1003 E Indian School Rd, Phoenix, AZ, 85014","(33.4943836, -112.0606315)"
13528,GXdnO7m8X4tjVl7MXHgN4g,"""Mamacita's Restaurant""","""611 Fremont St""",Las Vegas,NV,89101,36.1682897,-115.1391215,3.0,42,1,"611 Fremont St, Las Vegas, NV, 89101","(36.1682897, -115.1391215)"
13613,GLKg_Lu1LK7A0EqR45gpAQ,"""Amigos""","""777 W Lake Mead Pkwy""",Henderson,NV,89015,36.0324393,-115.0086004,2.5,4,1,"777 W Lake Mead Pkwy, Henderson, NV, 89015","(36.0324393, -115.0086004)"
13681,JECKrOvqJ_faoW_QxyeEAw,"""El Jefe's Mexican Restaurant & Cantina""","""9925 S Eastern Ave""",Las Vegas,NV,89123,36.0090694,-115.1170705,3.0,30,1,"9925 S Eastern Ave, Las Vegas, NV, 89123","(36.0090694, -115.1170705)"
14160,v5e9Hkp01yIomwg88e210g,"""Lily's Cafe""","""6706 N 58th Dr""",Glendale,AZ,85301,33.5353116,-112.1852399,5.0,3,1,"6706 N 58th Dr, Glendale, AZ, 85301","(33.5353116, -112.1852399)"
14269,rjKMTKPsjYw4RtiMpHquJA,"""Fajita Grill""","""5865 Ellsworth Ave""",Pittsburgh,PA,15232,40.45762029999999,-79.92882370000001,3.0,18,1,"5865 Ellsworth Ave, Pittsburgh, PA, 15232","(40.45762029999999, -79.92882370000001)"
14364,IZrGUQHkxOxyDmifE6p7bw,"""Viva Michoacan""","""2061 W Sunset Rd""",Henderson,NV,89014,36.0698208,-115.0707399,4.0,132,1,"2061 W Sunset Rd, Henderson, NV, 89014","(36.0698208, -115.0707399)"
14439,japzjLMfmqsGszf2CG1org,"""Sainz Mexican Restaurant""","""6740 W McDowell Rd""",Phoenix,AZ,85035,33.4662904,-112.2059646,4.0,3,1,"6740 W McDowell Rd, Phoenix, AZ, 85035","(33.4662904, -112.2059646)"
14520,FqT7tmXvQTNAz7W2OV096g,"""La Bamba""","""5809 Monona Dr""",Monona,WI,53716,43.0559457,-89.3259197,2.0,5,1,"5809 Monona Dr, Monona, WI, 53716","(43.0559457, -89.3259197)"
14980,6YGQcH6v5ndd-Q4ovVRLDQ,"""Casa Rita's""","""9727 B E Independence Blvd""",Matthews,NC,28105,35.1338014,-80.7117827,3.5,64,1,"9727 B E Independence Blvd, Matthews, NC, 28105","(35.1338014, -80.7117827)"
15067,aVKOO7rBVo2lCj-KElxp5Q,"""Hippies Cove""","""414 S Mill Ave""",Tempe,AZ,85281,33.42588,-111.94034,3.0,20,1,"414 S Mill Ave, Tempe, AZ, 85281","(33.42588, -111.94034)"
15168,T-wer_1iIXs692gYrTriDg,"""Hanshiktaco""","""""",Las Vegas,NV,89128,36.1988542,-115.2659777,3.5,64,1,", Las Vegas, NV, 89128","(36.1988542, -115.2659777)"
15180,KwMdV9OLQ8EVs0KaeB5Krg,"""Las Gorditas Los Pinguinos""","""2300 N Rainbow Blvd""",Las Vegas,NV,89108,36.2020349,-115.241759,3.5,6,1,"2300 N Rainbow Blvd, Las Vegas, NV, 89108","(36.2020349, -115.241759)"
15232,RwHE2Rt-DHlwWuxFLjPbgA,"""Dos Reales""","""1106 W University Ave""",Urbana,IL,61801,40.1166154,-88.22318109999999,3.5,26,1,"1106 W University Ave, Urbana, IL, 61801","(40.1166154, -88.22318109999999)"
15488,5kIHNfjP2oWvEm3oI5wVeg,"""Mission Burrito""","""109 McCaul Street""",Toronto,ON,M5T 3K5,43.6538725,-79.39109289999999,3.0,26,1,"109 McCaul Street, Toronto, ON, M5T 3K5","(43.6538725, -79.39109289999999)"
15628,tnRZmWnVnq25S0Hd4h-L_A,"""Las Cazuelas""","""15 N Butler St""",Madison,WI,53703,43.0772085,-89.38152649999999,2.5,8,1,"15 N Butler St, Madison, WI, 53703","(43.0772085, -89.38152649999999)"
15713,xX2uM2EIeR03KrGBCrOrcA,"""Los Amigos""","""404 E Green St""",Champaign,IL,61820,40.1104457,-88.2330726,4.0,8,1,"404 E Green St, Champaign, IL, 61820","(40.1104457, -88.2330726)"
15844,o1Pjim5n8xJjjAE_v4RiHA,"""Moe's Southwest Grill""","""10965 Lavender Hill Dr, Ste 6200""",Las Vegas,NV,89135,36.144893,-115.3324743,2.5,85,1,"10965 Lavender Hill Dr, Ste 6200, Las Vegas, NV, 89135","(36.144893, -115.3324743)"
15862,0FPlueS5F6l5xIf8Zw8iEQ,"""La Palapa""","""Pittsburgh Public Market, 2401 Penn Avenue""",Pittsburgh,PA,15201,40.4538071,-79.98048109999999,4.5,6,1,"Pittsburgh Public Market, 2401 Penn Avenue, Pittsburgh, PA, 15201","(40.4538071, -79.98048109999999)"
15914,Q_Gjsbu6hsCWTY9nay4Wrg,"""The Redneck Kitchen""","""""",Las Vegas,NV,89108,36.2030945,-115.2244853,4.0,8,1,", Las Vegas, NV, 89108","(36.2030945, -115.2244853)"
15925,IQ3wDfQYvE7B5Dsq7NArjQ,"""Fuzzy's Taco Shop""","""4231 E Thomas Rd""",Phoenix,AZ,85018,33.479987,-111.9899296,2.5,17,1,"4231 E Thomas Rd, Phoenix, AZ, 85018","(33.479987, -111.9899296)"
15939,cdPnRYnfKrbeEUAoSJONtw,"""Tqla""","""1840 S Val Vista Dr""",Mesa,AZ,85204,33.3822353,-111.7544327,3.5,231,1,"1840 S Val Vista Dr, Mesa, AZ, 85204","(33.3822353, -111.7544327)"
16224,Q28MO9hEMyG0xrAnOF-dSw,"""Stand Up Scottsdale Comedy Club""","""5101 N Scottsdale Rd""",Scottsdale,AZ,85251,33.5108012,-111.9255139,4.5,190,1,"5101 N Scottsdale Rd, Scottsdale, AZ, 85251","(33.5108012, -111.9255139)"
16228,5UaVi_cwnoAvIBp0g4aF2Q,"""Birria Estilo Michoacan""","""906 N 15th Ave""",Phoenix,AZ,85007,33.4579287,-112.0914873,4.0,5,1,"906 N 15th Ave, Phoenix, AZ, 85007","(33.4579287, -112.0914873)"
16330,5KWJZHhG88echvquDBu4iw,"""Tronco Sonoran Grill""","""10155 E Via Linda, Unit 135""",Scottsdale,AZ,85258,33.5744296,-111.862215,3.0,45,1,"10155 E Via Linda, Unit 135, Scottsdale, AZ, 85258","(33.5744296, -111.862215)"
16377,zY_YAwo4On0aqOABS-1cBA,"""Rockin' Taco Mexican Grill""","""3717 S Las Vegas Blvd, Ste 260""",Las Vegas,NV,89109,36.1088418,-115.1721488,3.5,63,1,"3717 S Las Vegas Blvd, Ste 260, Las Vegas, NV, 89109","(36.1088418, -115.1721488)"
16495,GpX1PmgplBrG_DLiJVDC-g,"""Padre's Modern Mexican Cuisine""","""1044 E Camelback Rd""",Phoenix,AZ,85014,33.5095627,-112.0587918,4.0,137,1,"1044 E Camelback Rd, Phoenix, AZ, 85014","(33.5095627, -112.0587918)"
16549,jzdqDKMILK4r7R5DbH12Lw,"""Rienda's Mexican Food""","""546 N Gilbert Rd""",Gilbert,AZ,85234,33.3602337,-111.7900886,4.0,10,1,"546 N Gilbert Rd, Gilbert, AZ, 85234","(33.3602337, -111.7900886)"
16635,keChsvTIWsPUc4KX-ayRVw,"""Comedor Anita""","""8400 S Avenida Del Yaqui""",Guadalupe,AZ,85283,33.370677,-111.963395,5.0,5,1,"8400 S Avenida Del Yaqui, Guadalupe, AZ, 85283","(33.370677, -111.963395)"
16683,V14keJTGx2R7hwFoziT1DQ,"""Barbies Bar & Grill""","""7325 Langelier Boulevard""",Saint-Leonard,QC,H1S 1V6,45.5917043,-73.5702333,2.5,4,1,"7325 Langelier Boulevard, Saint-Leonard, QC, H1S 1V6","(45.5917043, -73.5702333)"
16729,Y2yWvcEBs6ESnmOQMBKkeQ,"""Louisiana Fried Chicken""","""1717 W Southern Ave, Ste 100""",Pheonix AZ,AZ,85041,33.3918578,-112.095953,3.5,11,1,"1717 W Southern Ave, Ste 100, Pheonix AZ, AZ, 85041","(33.3918578, -112.095953)"
16824,MbAsfN3wwV22K7GZsgcBqA,"""Mucho Gusto Taqueria Mexican Bistro""","""603 W University Dr""",Tempe,AZ,85281,33.421594,-111.9475681,3.5,148,1,"603 W University Dr, Tempe, AZ, 85281","(33.421594, -111.9475681)"
16886,1CSMpBHr3mYd9XEOldM2yw,"""Fresh & Easy""","""4588 South Higley RdÊ""",Gilbert,AZ,85297,33.2669876,-111.7218741,3.0,8,1,"4588 South Higley RdÊ, Gilbert, AZ, 85297","(33.2669876, -111.7218741)"
